method,query,repetition,latency_ms,top_k,corpus_size
Hybrid (RRF),What personal protective equipment is needed?,3,9.8303,5,23
Hybrid (RRF),What hazard classifications apply to this material?,3,10.4217,5,23
BM25-only,What are the first aid measures for skin contact?,3,0.5855,5,23
BM25-only,What is the flash point of this substance?,3,0.5549,5,23
BM25-only,What storage conditions are required?,3,0.5511,5,23
BM25-only,What personal protective equipment is needed?,3,0.5333,5,23
BM25-only,What hazard classifications apply to this material?,3,0.5505,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,4,10.7386,5,23
Hybrid (RRF),What is the flash point of this substance?,4,10.3595,5,23
Hybrid (RRF),What storage conditions are required?,4,8.9568,5,23
Hybrid (RRF),What personal protective equipment is needed?,4,11.7333,5,23
Hybrid (RRF),What hazard classifications apply to this material?,4,10.8263,5,23
Vector-only,What are the first aid measures for skin contact?,4,9.4566,5,23
Vector-only,What is the flash point of this substance?,4,9.3952,5,23
Vector-only,What storage conditions are required?,4,8.7975,5,23
Vector-only,What personal protective equipment is needed?,4,8.9763,5,23
Vector-only,What hazard classifications apply to this material?,4,9.2316,5,23
BM25-only,What are the first aid measures for skin contact?,4,0.8096,5,23
BM25-only,What is the flash point of this substance?,4,0.584,5,23
BM25-only,What storage conditions are required?,4,0.5405,5,23
BM25-only,What personal protective equipment is needed?,4,0.555,5,23
BM25-only,What hazard classifications apply to this material?,4,0.5375,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,5,9.9338,5,23
Hybrid (RRF),What is the flash point of this substance?,5,10.1241,5,23
Hybrid (RRF),What storage conditions are required?,5,9.2981,5,23
Hybrid (RRF),What personal protective equipment is needed?,5,10.3914,5,23
Hybrid (RRF),What hazard classifications apply to this material?,5,9.7189,5,23
Vector-only,What are the first aid measures for skin contact?,5,10.4621,5,23
Vector-only,What is the flash point of this substance?,5,9.4192,5,23
Vector-only,What storage conditions are required?,5,8.5521,5,23
Vector-only,What personal protective equipment is needed?,5,9.043,5,23
Vector-only,What hazard classifications apply to this material?,5,9.1302,5,23
BM25-only,What are the first aid measures for skin contact?,5,0.7539,5,23
BM25-only,What is the flash point of this substance?,5,0.5503,5,23
BM25-only,What storage conditions are required?,5,0.5433,5,23
BM25-only,What personal protective equipment is needed?,5,0.5403,5,23
BM25-only,What hazard classifications apply to this material?,5,0.5276,5,23
BM25-only,What are the first aid measures for skin contact?,6,0.5176,5,23
BM25-only,What is the flash point of this substance?,6,0.5418,5,23
BM25-only,What storage conditions are required?,6,0.5132,5,23
BM25-only,What personal protective equipment is needed?,6,0.5271,5,23
BM25-only,What hazard classifications apply to this material?,6,0.5341,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,6,9.1111,5,23
Hybrid (RRF),What is the flash point of this substance?,6,9.7602,5,23
Hybrid (RRF),What storage conditions are required?,6,10.5091,5,23
Hybrid (RRF),What personal protective equipment is needed?,6,10.117,5,23
Hybrid (RRF),What hazard classifications apply to this material?,6,9.418,5,23
Vector-only,What are the first aid measures for skin contact?,6,9.0929,5,23
Vector-only,What is the flash point of this substance?,6,9.076,5,23
Vector-only,What storage conditions are required?,6,9.3909,5,23
Vector-only,What personal protective equipment is needed?,6,9.9709,5,23
Vector-only,What hazard classifications apply to this material?,6,10.6029,5,23
BM25-only,What are the first aid measures for skin contact?,7,0.8724,5,23
BM25-only,What is the flash point of this substance?,7,0.4983,5,23
BM25-only,What storage conditions are required?,7,0.5697,5,23
BM25-only,What personal protective equipment is needed?,7,0.8746,5,23
BM25-only,What hazard classifications apply to this material?,7,0.7695,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,7,10.0792,5,23
Hybrid (RRF),What is the flash point of this substance?,7,11.0522,5,23
Hybrid (RRF),What storage conditions are required?,7,10.4503,5,23
Hybrid (RRF),What personal protective equipment is needed?,7,8.7777,5,23
Hybrid (RRF),What hazard classifications apply to this material?,7,8.6897,5,23
Vector-only,What are the first aid measures for skin contact?,7,9.3463,5,23
Vector-only,What is the flash point of this substance?,7,8.9276,5,23
Vector-only,What storage conditions are required?,7,8.0359,5,23
Vector-only,What personal protective equipment is needed?,7,10.3839,5,23
Vector-only,What hazard classifications apply to this material?,7,10.1614,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,8,12.361,5,23
Hybrid (RRF),What is the flash point of this substance?,8,11.5408,5,23
Hybrid (RRF),What storage conditions are required?,8,8.7189,5,23
Hybrid (RRF),What personal protective equipment is needed?,8,10.4287,5,23
Hybrid (RRF),What hazard classifications apply to this material?,8,12.7385,5,23
Vector-only,What are the first aid measures for skin contact?,8,10.1586,5,23
Vector-only,What is the flash point of this substance?,8,10.1681,5,23
Vector-only,What storage conditions are required?,8,8.6166,5,23
Vector-only,What personal protective equipment is needed?,8,8.4766,5,23
Vector-only,What hazard classifications apply to this material?,8,8.9071,5,23
BM25-only,What are the first aid measures for skin contact?,8,0.9325,5,23
BM25-only,What is the flash point of this substance?,8,0.7753,5,23
BM25-only,What storage conditions are required?,8,0.6888,5,23
BM25-only,What personal protective equipment is needed?,8,0.6748,5,23
BM25-only,What hazard classifications apply to this material?,8,0.668,5,23
BM25-only,What are the first aid measures for skin contact?,9,0.6776,5,23
BM25-only,What is the flash point of this substance?,9,0.6792,5,23
BM25-only,What storage conditions are required?,9,0.6491,5,23
BM25-only,What personal protective equipment is needed?,9,0.6457,5,23
BM25-only,What hazard classifications apply to this material?,9,0.6669,5,23
Vector-only,What are the first aid measures for skin contact?,9,9.8779,5,23
Vector-only,What is the flash point of this substance?,9,9.6511,5,23
Vector-only,What storage conditions are required?,9,9.4054,5,23
Vector-only,What personal protective equipment is needed?,9,10.3519,5,23
Vector-only,What hazard classifications apply to this material?,9,10.6739,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,9,11.7214,5,23
Hybrid (RRF),What is the flash point of this substance?,9,10.1428,5,23
Hybrid (RRF),What storage conditions are required?,9,10.9074,5,23
Hybrid (RRF),What personal protective equipment is needed?,9,10.3588,5,23
Hybrid (RRF),What hazard classifications apply to this material?,9,11.4951,5,23
BM25-only,What are the first aid measures for skin contact?,10,0.5823,5,23
BM25-only,What is the flash point of this substance?,10,0.5675,5,23
BM25-only,What storage conditions are required?,10,0.5274,5,23
BM25-only,What personal protective equipment is needed?,10,0.5443,5,23
BM25-only,What hazard classifications apply to this material?,10,0.524,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,10,10.69,5,23
Hybrid (RRF),What is the flash point of this substance?,10,10.9243,5,23
Hybrid (RRF),What storage conditions are required?,10,9.9972,5,23
Hybrid (RRF),What personal protective equipment is needed?,10,10.2822,5,23
Hybrid (RRF),What hazard classifications apply to this material?,10,9.8162,5,23
Vector-only,What are the first aid measures for skin contact?,10,8.735,5,23
Vector-only,What is the flash point of this substance?,10,7.3568,5,23
Vector-only,What storage conditions are required?,10,8.8206,5,23
Vector-only,What personal protective equipment is needed?,10,8.863,5,23
Vector-only,What hazard classifications apply to this material?,10,9.0695,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,11,9.0309,5,23
Hybrid (RRF),What is the flash point of this substance?,11,8.962,5,23
Hybrid (RRF),What storage conditions are required?,11,8.7318,5,23
Hybrid (RRF),What personal protective equipment is needed?,11,8.2076,5,23
Hybrid (RRF),What hazard classifications apply to this material?,11,9.4127,5,23
Vector-only,What are the first aid measures for skin contact?,11,8.9389,5,23
Vector-only,What is the flash point of this substance?,11,8.9825,5,23
Vector-only,What storage conditions are required?,11,8.9405,5,23
Vector-only,What personal protective equipment is needed?,11,7.9451,5,23
Vector-only,What hazard classifications apply to this material?,11,7.9186,5,23
BM25-only,What are the first aid measures for skin contact?,11,0.8043,5,23
BM25-only,What is the flash point of this substance?,11,0.574,5,23
BM25-only,What storage conditions are required?,11,0.5189,5,23
BM25-only,What personal protective equipment is needed?,11,0.5263,5,23
BM25-only,What hazard classifications apply to this material?,11,0.5817,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,12,8.9219,5,23
Hybrid (RRF),What is the flash point of this substance?,12,9.851,5,23
Hybrid (RRF),What storage conditions are required?,12,9.8207,5,23
Hybrid (RRF),What personal protective equipment is needed?,12,10.2157,5,23
Hybrid (RRF),What hazard classifications apply to this material?,12,9.864,5,23
Vector-only,What are the first aid measures for skin contact?,12,9.1848,5,23
Vector-only,What is the flash point of this substance?,12,10.6886,5,23
Vector-only,What storage conditions are required?,12,9.2202,5,23
Vector-only,What personal protective equipment is needed?,12,8.5585,5,23
Vector-only,What hazard classifications apply to this material?,12,8.3318,5,23
BM25-only,What are the first aid measures for skin contact?,12,0.7891,5,23
BM25-only,What is the flash point of this substance?,12,0.5728,5,23
BM25-only,What storage conditions are required?,12,0.5664,5,23
BM25-only,What personal protective equipment is needed?,12,0.5381,5,23
BM25-only,What hazard classifications apply to this material?,12,0.5374,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,13,11.3607,5,23
Hybrid (RRF),What is the flash point of this substance?,13,11.1827,5,23
Hybrid (RRF),What storage conditions are required?,13,11.3234,5,23
Hybrid (RRF),What personal protective equipment is needed?,13,11.7608,5,23
Hybrid (RRF),What hazard classifications apply to this material?,13,9.674,5,23
Vector-only,What are the first aid measures for skin contact?,13,7.32,5,23
Vector-only,What is the flash point of this substance?,13,10.1585,5,23
Vector-only,What storage conditions are required?,13,8.6429,5,23
Vector-only,What personal protective equipment is needed?,13,9.2716,5,23
Vector-only,What hazard classifications apply to this material?,13,8.6714,5,23
BM25-only,What are the first aid measures for skin contact?,13,0.778,5,23
BM25-only,What is the flash point of this substance?,13,0.5974,5,23
BM25-only,What storage conditions are required?,13,0.4904,5,23
BM25-only,What personal protective equipment is needed?,13,0.4445,5,23
BM25-only,What hazard classifications apply to this material?,13,0.4591,5,23
BM25-only,What are the first aid measures for skin contact?,14,0.4679,5,23
BM25-only,What is the flash point of this substance?,14,0.457,5,23
BM25-only,What storage conditions are required?,14,0.4373,5,23
BM25-only,What personal protective equipment is needed?,14,0.6221,5,23
BM25-only,What hazard classifications apply to this material?,14,0.814,5,23
Vector-only,What are the first aid measures for skin contact?,14,11.3792,5,23
Vector-only,What is the flash point of this substance?,14,10.3833,5,23
Vector-only,What storage conditions are required?,14,9.8238,5,23
Vector-only,What personal protective equipment is needed?,14,8.7716,5,23
Vector-only,What hazard classifications apply to this material?,14,8.7811,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,14,10.1702,5,23
Hybrid (RRF),What is the flash point of this substance?,14,8.5549,5,23
Hybrid (RRF),What storage conditions are required?,14,9.1628,5,23
Hybrid (RRF),What personal protective equipment is needed?,14,10.0217,5,23
Hybrid (RRF),What hazard classifications apply to this material?,14,10.8111,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,15,10.9287,5,23
Hybrid (RRF),What is the flash point of this substance?,15,11.0017,5,23
Hybrid (RRF),What storage conditions are required?,15,10.3868,5,23
Hybrid (RRF),What personal protective equipment is needed?,15,9.4961,5,23
Hybrid (RRF),What hazard classifications apply to this material?,15,9.866,5,23
BM25-only,What are the first aid measures for skin contact?,15,0.4948,5,23
BM25-only,What is the flash point of this substance?,15,0.4674,5,23
BM25-only,What storage conditions are required?,15,0.4502,5,23
BM25-only,What personal protective equipment is needed?,15,0.4471,5,23
BM25-only,What hazard classifications apply to this material?,15,0.5487,5,23
Vector-only,What are the first aid measures for skin contact?,15,9.8784,5,23
Vector-only,What is the flash point of this substance?,15,9.0072,5,23
Vector-only,What storage conditions are required?,15,7.6742,5,23
Vector-only,What personal protective equipment is needed?,15,7.9064,5,23
Vector-only,What hazard classifications apply to this material?,15,7.5817,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,16,9.6152,5,23
Hybrid (RRF),What is the flash point of this substance?,16,8.6167,5,23
Hybrid (RRF),What storage conditions are required?,16,9.7597,5,23
Hybrid (RRF),What personal protective equipment is needed?,16,10.4556,5,23
Hybrid (RRF),What hazard classifications apply to this material?,16,10.2111,5,23
BM25-only,What are the first aid measures for skin contact?,16,0.601,5,23
BM25-only,What is the flash point of this substance?,16,0.5609,5,23
BM25-only,What storage conditions are required?,16,0.5483,5,23
BM25-only,What personal protective equipment is needed?,16,0.5815,5,23
BM25-only,What hazard classifications apply to this material?,16,0.5864,5,23
Vector-only,What are the first aid measures for skin contact?,16,9.2665,5,23
Vector-only,What is the flash point of this substance?,16,9.583,5,23
Vector-only,What storage conditions are required?,16,10.1547,5,23
Vector-only,What personal protective equipment is needed?,16,8.9858,5,23
Vector-only,What hazard classifications apply to this material?,16,8.8096,5,23
Vector-only,What are the first aid measures for skin contact?,17,9.1387,5,23
Vector-only,What is the flash point of this substance?,17,8.9185,5,23
Vector-only,What storage conditions are required?,17,9.186,5,23
Vector-only,What personal protective equipment is needed?,17,10.0254,5,23
Vector-only,What hazard classifications apply to this material?,17,7.8139,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,17,9.8051,5,23
Hybrid (RRF),What is the flash point of this substance?,17,12.143,5,23
Hybrid (RRF),What storage conditions are required?,17,12.004,5,23
Hybrid (RRF),What personal protective equipment is needed?,17,11.9237,5,23
Hybrid (RRF),What hazard classifications apply to this material?,17,9.8235,5,23
BM25-only,What are the first aid measures for skin contact?,17,0.4976,5,23
BM25-only,What is the flash point of this substance?,17,0.4488,5,23
BM25-only,What storage conditions are required?,17,0.4665,5,23
BM25-only,What personal protective equipment is needed?,17,0.4363,5,23
BM25-only,What hazard classifications apply to this material?,17,0.4451,5,23
Vector-only,What are the first aid measures for skin contact?,18,8.3667,5,23
Vector-only,What is the flash point of this substance?,18,8.6139,5,23
Vector-only,What storage conditions are required?,18,8.6539,5,23
Vector-only,What personal protective equipment is needed?,18,8.4702,5,23
Vector-only,What hazard classifications apply to this material?,18,9.0859,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,18,10.396,5,23
Hybrid (RRF),What is the flash point of this substance?,18,10.0358,5,23
Hybrid (RRF),What storage conditions are required?,18,9.5344,5,23
Hybrid (RRF),What personal protective equipment is needed?,18,9.6478,5,23
Hybrid (RRF),What hazard classifications apply to this material?,18,10.3204,5,23
BM25-only,What are the first aid measures for skin contact?,18,0.5928,5,23
BM25-only,What is the flash point of this substance?,18,0.5432,5,23
BM25-only,What storage conditions are required?,18,0.5309,5,23
BM25-only,What personal protective equipment is needed?,18,0.557,5,23
BM25-only,What hazard classifications apply to this material?,18,0.5292,5,23
Vector-only,What are the first aid measures for skin contact?,19,9.115,5,23
Vector-only,What is the flash point of this substance?,19,8.6011,5,23
Vector-only,What storage conditions are required?,19,8.9779,5,23
Vector-only,What personal protective equipment is needed?,19,8.8705,5,23
Vector-only,What hazard classifications apply to this material?,19,9.7972,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,19,9.7182,5,23
Hybrid (RRF),What is the flash point of this substance?,19,9.8482,5,23
Hybrid (RRF),What storage conditions are required?,19,10.4207,5,23
Hybrid (RRF),What personal protective equipment is needed?,19,11.9676,5,23
Hybrid (RRF),What hazard classifications apply to this material?,19,11.0769,5,23
BM25-only,What are the first aid measures for skin contact?,19,0.494,5,23
BM25-only,What is the flash point of this substance?,19,0.4664,5,23
BM25-only,What storage conditions are required?,19,0.4414,5,23
BM25-only,What personal protective equipment is needed?,19,0.4645,5,23
BM25-only,What hazard classifications apply to this material?,19,0.4434,5,23
BM25-only,What are the first aid measures for skin contact?,20,0.443,5,23
BM25-only,What is the flash point of this substance?,20,0.4501,5,23
BM25-only,What storage conditions are required?,20,0.4365,5,23
BM25-only,What personal protective equipment is needed?,20,0.451,5,23
BM25-only,What hazard classifications apply to this material?,20,0.4505,5,23
Vector-only,What are the first aid measures for skin contact?,20,8.5074,5,23
Vector-only,What is the flash point of this substance?,20,7.0167,5,23
Vector-only,What storage conditions are required?,20,7.933,5,23
Vector-only,What personal protective equipment is needed?,20,7.5857,5,23
Vector-only,What hazard classifications apply to this material?,20,8.2023,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,20,10.035,5,23
Hybrid (RRF),What is the flash point of this substance?,20,10.2719,5,23
Hybrid (RRF),What storage conditions are required?,20,8.2308,5,23
Hybrid (RRF),What personal protective equipment is needed?,20,9.2995,5,23
Hybrid (RRF),What hazard classifications apply to this material?,20,8.256,5,23
