timestamp,test_id,criticality,query,answer,answer_length,query_category,num_sources,avg_confidence,response_time_ms,has_min_sources,category_match,required_terms_match,passed
2026-03-11 16:13:30.227202+00:00,T7-002,high,What is the trade name of the vaccine in this batch protocol?, COMIRNATY,10,,5,69.68,53589.127,True,True,True,True
2026-03-11 16:14:14.702581+00:00,T7-003,medium,What is the license number stated in this electronic protocol?, 2229.,6,,5,69.12,44475.37899999999,True,True,True,True
2026-03-11 16:15:21.031789+00:00,T7-004,high,Who is the manufacturer or company named in this batch protocol?, Pharmacia & Upjohn Company LLC.,32,,5,88.72,66328.212,True,True,True,True
2026-03-11 16:16:10.318832+00:00,T7-005,high,What is the date of manufacture for lot FE3592?, The date of manufacture for lot FE3592 is 30-Jun-2021.,55,,5,59.04,49287.043,True,True,True,True
2026-03-11 16:16:54.205368+00:00,T7-006,high,What is the expiration date for this vaccine lot?, The expiration date for the vaccine lot is 30-Nov-2021.,56,,5,70.46,43886.536,True,True,True,True
2026-03-11 16:17:29.678583+00:00,T8-001,high,What is the lot number for this corrected COVID-19 vaccine protocol?, FD7220,7,,5,70.44,35473.215000000004,True,True,True,True
2026-03-11 16:18:23.522540+00:00,T8-002,medium,Is this document a corrected protocol?," Yes, the document is a corrected protocol as indicated by the 'Corrected Protocol' label on page 1.",100,,5,70.22,53843.957,True,True,True,True
2026-03-11 16:19:12.472859+00:00,T8-003,high,What is the trade name of the vaccine in this protocol?, COMIRNATY,10,,5,98.72,48950.319,True,True,True,True
2026-03-11 16:20:10.665237+00:00,T8-004,high,What is the date of manufacture for lot FD7220?, The date of manufacture for lot FD7220 is 23-Jun-2021.,55,,5,69.12,58191.374,True,True,True,True
2026-03-11 16:20:10.665237+00:00,T8-005,high,What is the expiration date for this vaccine lot?, The expiration date for the vaccine lot is 30-Nov-2021.,56,,5,70.46,0.0,True,True,True,True
2026-03-11 16:21:13.169431+00:00,T8-006,medium,What quality control tests were performed on the filled vaccine?," The filled vaccine underwent various quality control tests including Identity of encoded RNA sequence using RT-PCR, In Vitro Expression Assay, RNA Integrity using Capillary Gel Electrophoresis, and Bacterial Endotoxin testing using Endotoxin (LAL) method. Sterility tests were also conducted on the final container.",316,,5,61.32,62504.193999999996,True,True,True,True
2026-03-11 16:22:03.007391+00:00,T9-001,high,What is the lot number stated in this vaccine protocol?, The lot number stated in this vaccine protocol is FD7220.,58,,5,69.92,49837.96,True,True,True,True
2026-03-11 16:22:58.877340+00:00,T9-002,medium,What is the reason for submission of this protocol?, The reason for submission of this protocol is 'For Release'.,61,,5,78.72,55868.956,True,True,True,True
2026-03-11 16:24:10.018081+00:00,T9-003,high,What is the trade name of the product covered by this protocol?, COMIRNATY,10,,5,98.72,71140.74100000001,True,True,True,True
2026-03-11 16:25:21.399417+00:00,T9-004,high,Who is the manufacturer or company named in this protocol?, Pharmacia & Upjohn Company LLC for BioNTech Manufacturing GmbH,63,,5,70.7,71381.33600000001,True,True,True,True
2026-03-11 16:26:07.061212+00:00,T9-005,high,What is the date of manufacture for this vaccine lot?, The date of manufacture for this vaccine lot is 23-Jun-2021.,61,,5,78.08,45661.795,True,True,True,True
2026-03-11 16:27:20.652007+00:00,T9-006,high,What is the pH of the vaccine formulation in this batch protocol?, The pH of the vaccine formulation in this batch protocol is 6.9 - 7.9.,71,,5,69.12,73590.795,True,True,False,False
